"id" "danceability" "energy" "key" "loudness" "mode" "speechiness" "acousticness" "instrumentalness" "liveness" "valence" "tempo" "duration_ms" "time_signature" "uri" "analysis_url"
"1" "7AYuSG1LoaaFVKjOxsB6Vh" 0.782 0.599 10 -6.817 0 0.209 0.0372 0 0.175 0.586 157.999 150323 4 "spotify:track:7AYuSG1LoaaFVKjOxsB6Vh" "https://api.spotify.com/v1/audio-analysis/7AYuSG1LoaaFVKjOxsB6Vh"
"2" "3KTVQGLS2np8dWe5s4F9EN" 0.747 0.69 2 -5.703 1 0.0346 0.212 0.441 0.414 0.39 102.017 178427 4 "spotify:track:3KTVQGLS2np8dWe5s4F9EN" "https://api.spotify.com/v1/audio-analysis/3KTVQGLS2np8dWe5s4F9EN"
"3" "0pVE0otGuUr9ya4T3p8A19" 0.591 0.743 0 -4.245 0 0.0456 0.0435 0.000731 0.362 0.251 160.019 207920 4 "spotify:track:0pVE0otGuUr9ya4T3p8A19" "https://api.spotify.com/v1/audio-analysis/0pVE0otGuUr9ya4T3p8A19"
"4" "0hK0PTJdd4Jx6Ryl4t8jTi" 0.674 0.932 8 -4.876 1 0.0718 0.0363 0 0.0576 0.826 144.039 180333 4 "spotify:track:0hK0PTJdd4Jx6Ryl4t8jTi" "https://api.spotify.com/v1/audio-analysis/0hK0PTJdd4Jx6Ryl4t8jTi"
"5" "0yb28j15yuI99JlYQbSpo2" 0.698 0.59 7 -5.572 0 0.0717 0.234 7.9e-06 0.0601 0.113 69.978 167160 4 "spotify:track:0yb28j15yuI99JlYQbSpo2" "https://api.spotify.com/v1/audio-analysis/0yb28j15yuI99JlYQbSpo2"
"6" "6Rk9OCPLRprxsMmYgnU1UF" 0.489 0.215 10 -13.042 1 0.0838 0.895 0.000214 0.104 0.22 101.568 285645 4 "spotify:track:6Rk9OCPLRprxsMmYgnU1UF" "https://api.spotify.com/v1/audio-analysis/6Rk9OCPLRprxsMmYgnU1UF"
"7" "772OFujRKfyItvnYtGRFdN" 0.551 0.575 1 -9.28 1 0.056 0.108 0 0.0934 0.291 145.122 192495 3 "spotify:track:772OFujRKfyItvnYtGRFdN" "https://api.spotify.com/v1/audio-analysis/772OFujRKfyItvnYtGRFdN"
"8" "28jVyHbondZd7dQrZVIk5l" 0.633 0.8 9 -4.958 1 0.0746 0.0203 0 0.0847 0.388 107.05 194495 4 "spotify:track:28jVyHbondZd7dQrZVIk5l" "https://api.spotify.com/v1/audio-analysis/28jVyHbondZd7dQrZVIk5l"
"9" "7uiBocndm12aKbsdnQ3Scx" 0.441 0.527 3 -5.318 1 0.0966 0.172 0 0.233 0.589 96.37 187298 4 "spotify:track:7uiBocndm12aKbsdnQ3Scx" "https://api.spotify.com/v1/audio-analysis/7uiBocndm12aKbsdnQ3Scx"
"10" "03CbQgFxnBFoaaVJTfEqMD" 0.615 0.858 0 -3.3 1 0.0396 0.00393 0 0.0789 0.323 97.038 227265 4 "spotify:track:03CbQgFxnBFoaaVJTfEqMD" "https://api.spotify.com/v1/audio-analysis/03CbQgFxnBFoaaVJTfEqMD"
"11" "0KsLmtmd5XWgXcsoZ6DIgI" 0.72 0.544 8 -9.778 1 0.0501 0.226 0.00488 0.242 0.535 97.773 200570 3 "spotify:track:0KsLmtmd5XWgXcsoZ6DIgI" "https://api.spotify.com/v1/audio-analysis/0KsLmtmd5XWgXcsoZ6DIgI"
"12" "3T2ibiKCatzkbTnn3hOyyQ" 0.688 0.881 8 -4.32 0 0.127 0.0226 0.0117 0.43 0.514 123.982 173226 4 "spotify:track:3T2ibiKCatzkbTnn3hOyyQ" "https://api.spotify.com/v1/audio-analysis/3T2ibiKCatzkbTnn3hOyyQ"
"13" "28TJyEOMxbsftAi5mzOMJJ" 0.637 0.645 8 -4.681 1 0.0308 0.0652 0 0.231 0.712 127.03 178587 4 "spotify:track:28TJyEOMxbsftAi5mzOMJJ" "https://api.spotify.com/v1/audio-analysis/28TJyEOMxbsftAi5mzOMJJ"
"14" "5yOc7LHI9HIBRTWcLbGXXi" 0.646 0.743 11 -6.272 1 0.0392 0.0309 1.83e-05 0.0771 0.437 133.908 186055 4 "spotify:track:5yOc7LHI9HIBRTWcLbGXXi" "https://api.spotify.com/v1/audio-analysis/5yOc7LHI9HIBRTWcLbGXXi"
"15" "6MLHg35rlksBc5OBcdZvJi" 0.387 0.234 0 -8.861 1 0.0373 0.736 0 0.084 0.408 78.65 230353 4 "spotify:track:6MLHg35rlksBc5OBcdZvJi" "https://api.spotify.com/v1/audio-analysis/6MLHg35rlksBc5OBcdZvJi"
"16" "5ql2mP9FUhB3SgMzv2akuO" 0.657 0.882 0 -3.565 0 0.0456 0.247 0.00202 0.112 0.179 127.994 195000 4 "spotify:track:5ql2mP9FUhB3SgMzv2akuO" "https://api.spotify.com/v1/audio-analysis/5ql2mP9FUhB3SgMzv2akuO"
